date_time_(UTC)	channel	duration	https://archive.org/details/	text
2018-01-27 00:00:00	BBCNEWS	4	BBCNEWS_20180127_000000_	later,\
2018-01-27 00:01:00	BBCNEWS	4	BBCNEWS_20180127_000000_BBC_News/start/60	later,\
2018-01-27 00:01:00	CNNW	62	CNNW_20180127_000000_Erin_Burnett_OutFront/start/60	TRUMP RETURNS TO WHITE HOUSE AMID MUELLER BOMBSHELL. AND QUESTIONS ABOUT POSSIBLE OBSTRUCTION OF JUSTICE
2018-01-27 00:02:00	BBCNEWS	4	BBCNEWS_20180127_000000_BBC_News/start/120	later,\
2018-01-27 00:02:00	CNNW	35	CNNW_20180127_000000_Erin_Burnett_OutFront/start/120	TRUMP RETURNS TO WHITE HOUSE AMID MUELLER BOMBSHELL. AND QUESTIONS ABOUT HIS PATI'ERN OF PRESSURING OFFICIALS\nTRUMP RETURNS TO WHITE HOUSE AMID MUELLER BOMBSHELL. AND QUESTIONS ABOUT POSSIBLE OBSTRUCTION OF JUSTICE
2018-01-27 00:02:00	FOXNEWSW	15	FOXNEWSW_20180127_000000_The_Story_With_Martha_MacCallum/start/120	AISMAN TO NASSAR: YOU ARE SO SICK. . \\ 'l'hn\ufb02tnww\ufb02f'nvn aura nnm \\\nEW FALLOUT FROM lARRY NASSAR'S SEXUAL ABUSE\n5A GYMNASTICS ROCKED BY ABUSE SCANDAL. . Th thnn-w\ufb02f'nvn an\": nnm\n5U MARCH SUPPORTING...
2018-01-27 00:02:00	MSNBCW	29	MSNBCW_20180127_000000_Hardball_With_Chris_Matthews/start/120	SOURCE: TRUMP ORDERED FIRING OF SPECIAL COUNSEL IN JUNE\nTRUMP DENIES CONSIDERING FIRING MUELLER
2018-01-27 00:03:00	BBCNEWS	4	BBCNEWS_20180127_000000_BBC_News/start/180	later,\
2018-01-27 00:03:00	MSNBCW	59	MSNBCW_20180127_000000_Hardball_With_Chris_Matthews/start/180	SOURCE: TRUMP ORDERED FIRING OF SPECIAL COUNSEL IN JUNE
2018-01-27 00:04:00	BBCNEWS	4	BBCNEWS_20180127_000000_BBC_News/start/240	later,\
