date_time_(UTC)	channel	duration	https://archive.org/details/	text
2018-02-12 00:00:00	CNNW	62	CNNW_20180211_230000_CNN_Newsroom_With_Ana_Cabrera/start/3600	WHITE HOUSE STAFFER'S EX: TRUMP CALLED ME A LIAR
2018-02-12 00:00:00	MSNBCW	21	MSNBCW_20180211_230000_Meet_the_Press/start/3600	KASIE HUNT
2018-02-12 00:01:00	CNNW	34	CNNW_20180212_000000_CNN_Newsroom_With_Ana_Cabrera/start/60	WHITE HOUSE STAFFER'S EX: TRUMP CALLED ME A LIAR. . Ryan Nobles OW Correspondent\nWHITE HOUSE STAFFER'S EX: TRUMP CALLED ME A LIAR
2018-02-12 00:01:00	FOXNEWSW	5	FOXNEWSW_20180212_000000_Scandalous/start/60	Narrated by Bruce McGill
2018-02-12 00:02:00	CNNW	41	CNNW_20180212_000000_CNN_Newsroom_With_Ana_Cabrera/start/120	WHITE HOUSE STAFFER'S EX: TRUMP CALLED ME A LIAR\nWHITE HOUSE STAFFER'S EX: TRUMP CALLED ME A LIAR. . Kellyanne Conway CounseIor to the President\nWHITE HOUSE STAFFER'S EX: TRUMP CALLED...
2018-02-12 00:03:00	BBCNEWS	3	BBCNEWS_20180212_000000_Newsday/start/180	General HADI TJAHJANTO. Commander-in-Chief
2018-02-12 00:03:00	MSNBCW	30	MSNBCW_20180212_000000_Kasie_DC/start/180	W WH AIDES SAYTRUMP NOT LOOKINGTO REPLACE KELLY\nWE DOMESTIC ABUSE ALLEGATIONS ROCK THE WEST WING\nW WH AIDES SAY TRUMP NOT LOOKING TO REPLACE KELLY
2018-02-12 00:04:00	CNNW	22	CNNW_20180212_000000_CNN_Newsroom_With_Ana_Cabrera/start/240	ROB PORTER'S EX: \"TRUMP WILL NOT DIMINISH MY TRUTH\u201c\nWHITE HOUSE STAFFER'S EX: TRUMP CALLED ME A LIAR\nROB PORTER'S EX: \"TRUMP WILL NOT DIMINISH MY TRUTH\". . Steve Cortes Former Trump...
2018-02-12 00:05:00	MSNBCW	57	MSNBCW_20180212_000000_Kasie_DC/start/300	W WH AIDES SAY TRUMP NOT LOOKING TO REPLACE KELLY
2018-02-12 00:06:00	BBCNEWS	10	BBCNEWS_20180212_000000_Newsday/start/360	'NEWSDAV A
2018-02-12 00:06:00	CNNW	56	CNNW_20180212_000000_CNN_Newsroom_With_Ana_Cabrera/start/360	TRUMP DEFENDS STAFFER, IGNORES ALLEGED ABUSE VICTIMS. . Steve Cortes CJ\\N Political Commentator\nTRUMP DEFENDS STAFFER IGNORES ALLEGED ABUSE VICTIMS. . Steve Cortes CJ\\N Political Commentator
2018-02-12 00:07:00	CNNW	42	CNNW_20180212_000000_CNN_Newsroom_With_Ana_Cabrera/start/420	TRUMP DEFENDS STAFFER, IGNORES ALLEGED ABUSE VICTIMS. Patti Solis Doyle Fmr Hillary Clinton Presidential Campaign Manager\nTRUMP DEFENDS STAFFER, IGNORES ALLEGED ABUSE VICTIMS
2018-02-12 00:07:00	MSNBCW	15	MSNBCW_20180212_000000_Kasie_DC/start/420	WW WHITE HOUSE DEFENDS TRUMP'S TWEEI'. ' ; ON ACCUSATIONS OF DOMESTIC VIOLENCE
2018-02-12 00:08:00	BBCNEWS	17	BBCNEWS_20180212_000000_Newsday/start/480	NEWS IN BRIEF\nSAUDI 'PRISON HOTEL' REOPENS. Ritz-Carlton in Riyadh served as a detention centre\nASMA JAHANGIR DIES. Pakistani activist renowned for...
2018-02-12 00:09:00	BBCNEWS	16	BBCNEWS_20180212_000000_Newsday/start/540	ANGELA MEHKEL COALITION DEAL. Gevman Chancellor talks about 'painful concessions'\nOXFAM HAITI ALLEGATIONS. UK govt minister says lunding could be cut on
2018-02-12 00:09:00	CNNW	43	CNNW_20180212_000000_CNN_Newsroom_With_Ana_Cabrera/start/540	CONWAY: NO REASON NOT TO BELIEVE PORTER'S EX-WIVES. . Tara Setmayer Fmr Comm Dir, GOP Congressman Dana Rohrabacher\nCONWAY: NO REASON NOT TO BELIEVE PORTER'S EX-WIVES
2018-02-12 00:09:00	MSNBCW	38	MSNBCW_20180212_000000_Kasie_DC/start/540	WHITE HOUSE OFFICIALS DEFEND HANDLING. OF ABUSE ALLEGATIONS AGAINST ROB PORTER
2018-02-12 00:11:00	CNNW	35	CNNW_20180212_000000_CNN_Newsroom_With_Ana_Cabrera/start/660	CONWAY: NO REASON NOT TO BELIEVE PORTER'S EX-WIVES. . Steve Cortes Former Trump Campaign Adviser\nCONWAY: NO REASON NOT TO BELIEVE PORTER'S EX-WIVES\nCONWAY: NO REASON NOT TO BELIEVE PORTER'S EX-WIVES. . Tara Setmayer Fmr Comm Dir,...
2018-02-12 00:11:00	MSNBCW	37	MSNBCW_20180212_000000_Kasie_DC/start/660	ROB PORTER'S EX-WIFE IN NEW OP-ED:. \"PRESIDENT TRUMP WILL NOT DIMINISH MY TRUTH\
2018-02-12 00:12:00	BBCNEWS	10	BBCNEWS_20180212_000000_Newsday/start/720	NEWSDAV\nNEWSDAY
2018-02-12 00:13:00	BBCNEWS	13	BBCNEWS_20180212_000000_Newsday/start/780	INTER-KOREAN RELATIONS. North Korean leader's sister has left South Korea\nINTER-KOREAN RELATIONS. Kim Yo-iong's visit to Pyeongchang hailed as PH victory\nINTER-KOREAN RELATIONS. NK leader's sister amended...
2018-02-12 00:13:00	CNNW	33	CNNW_20180212_000000_CNN_Newsroom_With_Ana_Cabrera/start/780	CONWAY: NO REASON NOT TO BELIEVE PORTER'S EX-WIVES\nCONWAY: NO REASON NOT TO BELIEVE PORTER'S EX-WIVES. Patti Solis Doyle Fmr Hillary Clinton Presidential Campaign Manager\nCONWAY: NO...
2018-02-12 00:14:00	MSNBCW	17	MSNBCW_20180212_000000_Kasie_DC/start/840	BUY NOW AT RING.COM m
2018-02-12 00:15:00	BBCNEWS	11	BBCNEWS_20180212_000000_Newsday/start/900	INTER-KOREAN RELATIONS. NK leader's sister attended concen with SK President\nINTER-KOREAN RELATIONS. Kim Yo\u00abiong's visit to Pyeongchang hailed as PH victory\nINTER-KOREAN RELATIONS. Comes as SK President is...
2018-02-12 00:15:00	CNNW	22	CNNW_20180212_000000_CNN_Newsroom_With_Ana_Cabrera/start/900	CONWAY: NO REASON NOT TO BELIEVE PORTER'S EX-WIVES. Patti Solis Doyle Fmr Hillary Clinton Presidential Campaign Manager\nGOP SENATORS RELEASE PROPOSAL AHEAD OF DEBATE\nCONWAY: NO REASON NOT TO BELIEVE PORTER'S EX-WIVES\nAMID DUELING MEMOS, LARGER QUESTION...
2018-02-12 00:17:00	BBCNEWS	24	BBCNEWS_20180212_000000_Newsday/start/1020	PAPUA MALNUTRITION\nNEWSDAV
2018-02-12 00:17:00	MSNBCW	27	MSNBCW_20180212_000000_Kasie_DC/start/1020	W ONE-ON-ONE WITH SEN. JAMES LANKFORD
2018-02-12 00:18:00	BBCNEWS	19	BBCNEWS_20180212_000000_Newsday/start/1080	BBC.COM/SPORT\nNEWSDAY
2018-02-12 00:18:00	CNNW	10	CNNW_20180212_000000_CNN_Newsroom_With_Ana_Cabrera/start/1080	ENDS FEBRUARY 2O
2018-02-12 00:18:00	MSNBCW	30	MSNBCW_20180212_000000_Kasie_DC/start/1080	W ONE-ON-ONE WITH SEN. JAMES LANKFORD\nW SEN. LANKFORD PRESSES FORLEGALSTATUS FOR\"DREAMERS\
2018-02-12 00:21:00	CNNW	36	CNNW_20180212_000000_CNN_Newsroom_With_Ana_Cabrera/start/1260	TRUMP DID \"VIRTUALLY NOTHING\" TO PREPARE FOR 2O16 DEPOSITION\nTRUMP DID \"VIRTUALLY NOTHING\" TO PREPARE FOR 2O16 DEPOSITION. . Tim Naftali OW Presidential Historian
2018-02-12 00:22:00	MSNBCW	42	MSNBCW_20180212_000000_Kasie_DC/start/1320	ARE CONGRESSIONAL LEADERS. SERIOUS ABOUT FIXING IMMIGRATION?
2018-02-12 00:23:00	CNNW	39	CNNW_20180212_000000_CNN_Newsroom_With_Ana_Cabrera/start/1380	SOURCE: TRUMP \"THINKS HE CAN WORK THIS,\" WANTS TO TALK TO MUELLER. . Kim Wehle Fmr. Associate Independent Counsel, Whitewater Investigation\nSOURCE: TRUMP \"THINKS HE CAN WORK THIS,\" WANTS TO TALK TO MUELLER. Kim Wehle Former Assistant U.S. Attorney\nSOURCE: TRUMP \"THINKS HE...
2018-02-12 00:24:00	MSNBCW	62	MSNBCW_20180212_000000_Kasie_DC/start/1440	x/[WF\u2014 SEN. LANKFORD ON RUSSIA'S ATI'EMP'I'S. \" , TO INTERFERE IN FUTURE ELECTIONS
